bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,276.230257225487,267.59900030774855,,,,,,,,,,,,,
bee2,158.63897292638572,215.5320083867633,265.11411472639566,315.947038068404,379.8170269180937,445.735970677211,536.3477377108991,,,,,,,,
bee3,124.16041771775073,170.1916332958108,225.76269148586306,291.9604634338437,365.547299993087,442.1555644904591,536.7184559526712,624.6652052545369,,,883.5046227277727,934.9522995688794,984.9297392305963,,
bee4,73.20087176315694,123.75927449969697,186.30218678560206,257.48899586273154,338.93442317043656,423.9416338557983,525.3950437423501,612.0937666318126,705.8234399586498,784.013801283859,910.0099676868585,948.7849604808076,973.1551960840033,995.055074955546,
bee5,123.74541878150536,172.1948405154381,234.9189218918429,320.59107148608814,394.4248821440162,471.59089970056044,555.501540584021,629.0847315356677,709.1613412729887,790.7407407407406,,,,,
bee6,107.84155552194933,143.26740277133865,194.2260678490371,258.93167134446884,322.29937347969616,391.381999694032,467.7795739093402,547.7053391614448,628.9245780127632,709.3196957134514,865.4059562631876,925.5744703356797,,,
bee7,399.07514823263523,369.1879272830809,344.1219617434839,333.0567267970221,339.27320851154377,348.109976236757,344.688284856653,364.5562159227316,404.7154328891545,454.4447840259529,574.5070052138445,624.1770988705514,669.1241998219613,713.2713378313629,810.4682045351406
bee8,515.1777297966826,477.8827404084048,439.55840478922755,406.2325231019652,381.23531251926266,362.7408617520729,366.4725449474685,376.0490584695797,395.71825271033526,419.3790317729408,,,,,
bee9,453.4163867275712,459.4729565548037,483.2606018783719,522.3043014036417,,,,,,,,,,,
bee10,257.27081374485186,333.4426261155534,421.970360227868,532.8838447953698,633.4504169443915,,,,,,,,,,
bee11,476.3121721333178,461.45866717282087,492.809232506197,534.6570827728012,,,,,,,,,,,
bee12,410.39518911445015,443.4344233271647,465.4930863536779,500.97470153442214,555.6427400725543,,,,,,,,,,
bee13,330.8601667342457,334.629680870684,351.66905583023964,385.7334506165549,437.80535101484213,515.9626160147928,600.6412325678541,677.8543014886305,750.7911921873604,821.5238316906364,,,,,
